Status_des_Girokontos,Dauer_in_Monaten,Kreditgeschichte,Kreditverwendungszweck,Kreditbetrag,Sparkonto_Wertpapiere,Beschäftigt_seit,Ratenhöhe,Familienstand_Geschlecht,Weitere_Bürgen_Schuldner,Wohnsitzdauer,Vermögen,Alter,Andere_Ratenverpflichtungen,Wohnsituation,Anzahl_bestehender_Kredite,Beruf,Unterhaltspflichtige_Personen,Telefon,Ausländischer_Arbeiter,Ziel
... < 0 DM,15,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1403,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",28,Keine,Miete,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1282,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",32,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,24,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,2424,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,53,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,30,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Geschäft,8072,unbekannt/kein Sparkonto,... < 1 Jahr,2,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Bank,Eigentum,3,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),12579,... < 100 DM,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,2,unbekannt/kein Eigentum,44,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3430,500 <= ... < 1000 DM,.. >= 7 Jahre,3,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Keine,Eigentum,1,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,9,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2134,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",48,Keine,Eigentum,3,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2647,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,3,Immobilie,44,Keine,Miete,1,gelernt - Angestellter/Beamter,2,kein Telefon,ja,guter Kredit
... < 0 DM,10,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),2241,... < 100 DM,... < 1 Jahr,1,männlich : ledig,keine,3,Immobilie,48,Keine,Miete,2,ungelernt - ansässig,2,kein Telefon,nein,guter Kredit
0 <= ... < 200 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),1804,100 <= ... < 500 DM,... < 1 Jahr,3,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,44,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,10,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,2069,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,2,männlich : verheiratet/witwer,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",26,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,nein,guter Kredit
... < 0 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1374,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,2,Immobilie,36,Bank,Eigentum,1,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,6,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Radio/TV,426,... < 100 DM,.. >= 7 Jahre,4,männlich : verheiratet/witwer,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",39,Keine,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,12,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Radio/TV,409,.. >= 1000 DM,1 <= ... < 4 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,3,Immobilie,42,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,7,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2415,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,Bürge,2,Immobilie,34,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,60,Verzögerungen bei der Rückzahlung in der Vergangenheit,Geschäft,6836,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,63,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,1913,.. >= 1000 DM,... < 1 Jahr,3,männlich : verheiratet/witwer,keine,3,Immobilie,36,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,4020,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",27,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),5866,100 <= ... < 500 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",30,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,1264,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,57,Keine,Miete,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Möbel/Ausstattung,1474,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,33,Bank,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,45,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,4746,... < 100 DM,... < 1 Jahr,4,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,25,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,48,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Ausbildung,6110,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,3,unbekannt/kein Eigentum,31,Bank,kostenlos,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2100,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,Mit-Antragsteller,2,Immobilie,37,Läden,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,10,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Haushaltsgeräte,1225,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",37,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,458,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,3,Immobilie,24,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,30,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2333,500 <= ... < 1000 DM,.. >= 7 Jahre,4,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",30,Bank,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1158,500 <= ... < 1000 DM,1 <= ... < 4 Jahre,3,männlich : geschieden/getrennt,keine,1,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,18,Verzögerungen bei der Rückzahlung in der Vergangenheit,Reparaturen,6204,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,4,Immobilie,44,Keine,Eigentum,1,ungelernt - ansässig,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,30,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),6187,100 <= ... < 500 DM,4 <= ... < 7 Jahre,1,männlich : verheiratet/witwer,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",24,Keine,Miete,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,48,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),6143,... < 100 DM,.. >= 7 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,unbekannt/kein Eigentum,58,Läden,kostenlos,2,ungelernt - ansässig,1,kein Telefon,ja,schlechter Kredit
kein Girokonto,11,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),1393,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",35,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2299,500 <= ... < 1000 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",39,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,6,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),1352,500 <= ... < 1000 DM,arbeitslos,1,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,23,Keine,Miete,1,arbeitslos/ungelernt - nicht ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,11,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (neu),7228,... < 100 DM,1 <= ... < 4 Jahre,1,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,39,Keine,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2073,100 <= ... < 500 DM,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,2,Immobilie,28,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,24,Verzögerungen bei der Rückzahlung in der Vergangenheit,Möbel/Ausstattung,2333,unbekannt/kein Sparkonto,... < 1 Jahr,4,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,29,Bank,Eigentum,1,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,27,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (gebraucht),5965,... < 100 DM,.. >= 7 Jahre,1,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",30,Keine,Eigentum,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,1262,... < 100 DM,1 <= ... < 4 Jahre,3,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),3378,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,2,männlich : ledig,keine,1,wenn nicht A121: Bausparvertrag/Lebensversicherung,31,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,36,Verzögerungen bei der Rückzahlung in der Vergangenheit,Auto (neu),2225,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,57,Bank,kostenlos,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,6,alle Kredite bei dieser Bank wurden ordnungsgemäß zurückgezahlt,Auto (neu),783,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,1,männlich : ledig,Bürge,2,Immobilie,26,Läden,Eigentum,1,ungelernt - ansässig,2,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,6468,unbekannt/kein Sparkonto,arbeitslos,2,männlich : ledig,keine,1,unbekannt/kein Eigentum,52,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,36,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,9566,... < 100 DM,1 <= ... < 4 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",31,Läden,Eigentum,2,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... >= 200 DM / Gehaltspfändung mindestens 1 Jahr,18,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1961,... < 100 DM,.. >= 7 Jahre,3,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",23,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,36,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Möbel/Ausstattung,6229,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,Mit-Antragsteller,4,unbekannt/kein Eigentum,23,Keine,Miete,2,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,9,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Geschäft,1391,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : verheiratet/witwer,keine,1,Immobilie,27,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,15,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,1537,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,Bürge,4,Immobilie,50,Keine,Eigentum,2,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,36,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Geschäft,1953,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,61,Keine,kostenlos,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
0 <= ... < 200 DM,48,keine Kredite aufgenommen / alle Kredite wurden ordnungsgemäß zurückgezahlt,Geschäft,14421,... < 100 DM,1 <= ... < 4 Jahre,2,männlich : ledig,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,24,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3181,... < 100 DM,... < 1 Jahr,4,weiblich : geschieden/getrennt/verheiratet,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,26,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,27,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Reparaturen,5190,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,wenn nicht A121: Bausparvertrag/Lebensversicherung,48,Keine,Eigentum,4,gelernt - Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
kein Girokonto,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2171,... < 100 DM,... < 1 Jahr,2,weiblich : geschieden/getrennt/verheiratet,keine,2,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",29,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
0 <= ... < 200 DM,12,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (neu),1007,.. >= 1000 DM,1 <= ... < 4 Jahre,4,männlich : verheiratet/witwer,keine,1,Immobilie,22,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,1819,... < 100 DM,1 <= ... < 4 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,37,Läden,kostenlos,1,gelernt - Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,2394,unbekannt/kein Sparkonto,1 <= ... < 4 Jahre,4,weiblich : geschieden/getrennt/verheiratet,keine,4,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",25,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Auto (gebraucht),8133,... < 100 DM,1 <= ... < 4 Jahre,1,weiblich : geschieden/getrennt/verheiratet,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,30,Bank,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
kein Girokonto,7,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Radio/TV,730,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,2,wenn nicht A121: Bausparvertrag/Lebensversicherung,46,Keine,Miete,2,ungelernt - ansässig,1,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
... < 0 DM,8,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Sonstiges,1164,... < 100 DM,.. >= 7 Jahre,3,männlich : ledig,keine,4,unbekannt/kein Eigentum,51,Bank,kostenlos,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,2,"ja, unter dem Namen des Kunden registriert",ja,guter Kredit
0 <= ... < 200 DM,42,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Geschäft,5954,... < 100 DM,4 <= ... < 7 Jahre,2,weiblich : geschieden/getrennt/verheiratet,keine,1,Immobilie,41,Bank,Eigentum,2,ungelernt - ansässig,1,kein Telefon,ja,guter Kredit
... < 0 DM,36,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Ausbildung,1977,unbekannt/kein Sparkonto,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,40,Keine,Eigentum,1,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,"ja, unter dem Namen des Kunden registriert",ja,schlechter Kredit
... < 0 DM,12,kritisches Konto / andere Kredite bestehen (nicht bei dieser Bank),Auto (gebraucht),1526,... < 100 DM,.. >= 7 Jahre,4,männlich : ledig,keine,4,unbekannt/kein Eigentum,66,Keine,kostenlos,2,Management/selbstständig/hochqualifizierter Angestellter/Beamter,1,kein Telefon,ja,guter Kredit
... < 0 DM,42,bestehende Kredite wurden bisher ordnungsgemäß zurückgezahlt,Radio/TV,3965,... < 100 DM,... < 1 Jahr,4,männlich : ledig,keine,3,"wenn nicht A121/A122: Auto oder anderes, nicht in Attribut 6",34,Keine,Eigentum,1,gelernt - Angestellter/Beamter,1,kein Telefon,ja,schlechter Kredit
